system:index,DMC,EDDI,FFMC,NDMI_mean,NDVI_mean,ann_dewpoint,ann_humidity,ann_precip,ann_temp,bfi,crop_mode,fall_frost_days,first_fall_frost,frost_days,fuel_load,growing_season_days,heat_index,lai,last_spring_frost,pct_tree_cover,slope_deg,soil_organic_C,soil_pH,soil_quality_index,soil_texture,spring_frost_days,topo_index,wind_chill,.geo
"-768,3402",53.16455980516649,0.03055555559694767,64.7137968404511,0.005560637451708317,0.3385969400405884,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.14765934646129608,2.0,73.0,8.0,7.0,8.0,0.08149708913711318,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-770,3403",53.16455980516649,0.03055555559694767,64.7137968404511,0.011837168596684933,0.3575598895549774,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.5843448042869568,2.0,73.0,8.0,7.0,8.0,0.9553455099300855,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-768,3403",53.16455980516649,0.03055555559694767,64.7137968404511,0.015640875324606895,0.34751057624816895,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.4562746584415436,2.0,73.0,8.0,7.0,8.0,0.056933146706057244,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-767,3403",53.16455980516649,0.03055555559694767,64.7137968404511,0.020287208259105682,0.36287254095077515,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.7738496661186218,2.0,73.0,8.0,7.0,8.0,0.03659420094011865,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-766,3403",53.16455980516649,0.03055555559694767,64.7137968404511,0.015477246604859829,0.34510061144828796,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.43594199419021606,2.0,72.0,8.0,7.0,8.0,0.5446163546246675,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-807,3404",52.52807120443167,0.0208333320915699,64.44505861231687,0.01058962196111679,0.33053532242774963,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,4,10.0,310.0,77.0,0.0,250.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.2499960958957672,2.0,75.0,7.1000000000000005,7.0,8.0,0.4738732613846348,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-806,3404",52.52807120443167,0.0208333320915699,64.44505861231687,0.010693683288991451,0.3316195607185364,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,4,8.0,322.0,75.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.43592286109924316,2.0,76.0,7.4,8.0,8.0,0.5452589366102536,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-804,3404",52.52807120443167,0.0208333320915699,64.44505861231687,0.012768718414008617,0.3441739082336426,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,4,8.0,322.0,75.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.2990936040878296,2.0,75.0,7.1000000000000005,7.0,8.0,0.253330464521334,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-797,3404",52.52807120443167,0.015416665002703667,64.44505861231687,0.015706969425082207,0.3429843783378601,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,4,8.0,322.0,75.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.05796816572546959,2.0,75.0,7.1000000000000005,7.0,8.0,0.023276533262247698,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-786,3404",52.52807120443167,0.019999999552965164,64.44505861231687,0.001919365138746798,0.34080398082733154,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,4,8.0,322.0,76.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.31727489829063416,2.0,73.0,7.1000000000000005,7.0,8.0,0.5881223567376946,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-768,3404",53.16455980516649,0.03055555559694767,64.7137968404511,0.019163139164447784,0.34263965487480164,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.7854201197624207,2.0,76.0,8.0,7.0,8.0,0.49038475708000917,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-767,3404",53.16455980516649,0.03055555559694767,64.7137968404511,0.019473379477858543,0.35196033120155334,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.6994914412498474,2.0,75.0,7.1000000000000005,7.0,8.0,1.3815057300696025,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-766,3404",53.16455980516649,0.03055555559694767,64.7137968404511,0.013081979006528854,0.35347259044647217,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.9078716039657593,2.0,73.0,7.1000000000000005,7.0,8.0,1.645665158991072,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-748,3404",53.16455980516649,0.02013888768851757,64.7137968404511,-0.004784881602972746,0.3379404544830322,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,73.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.8448445200920105,2.0,74.0,7.1000000000000005,7.0,8.0,0.8184313886663631,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-803,3405",52.52807120443167,0.0208333320915699,64.44505861231687,0.021751349791884422,0.35506483912467957,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,24,8.0,322.0,75.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.1877419352531433,1.0,78.0,6.6000000000000005,7.0,8.0,0.3691845405951498,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-800,3405",52.52807120443167,0.015416665002703667,64.44505861231687,0.026482107117772102,0.3488004803657532,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,4,8.0,322.0,75.0,0.09019607843137255,262.0,66.0357635170624,0.24380000000000002,60.0,0.09019607843137255,0.2816116511821747,2.0,76.0,7.1000000000000005,7.0,8.0,0.5537743494927972,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-795,3405",52.52807120443167,0.015416665002703667,64.44505861231687,0.014750875532627106,0.35906121134757996,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,4,8.0,322.0,75.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.7473480105400085,2.0,75.0,7.8,8.0,8.0,0.7202088513864668,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-766,3405",53.16455980516649,0.03055555559694767,64.7137968404511,1.515140029368922E-4,0.3308454751968384,277.8847351074219,55.3557304927422,0.0577034130692482,286.6485595703125,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,65.98081947358486,0.24380000000000002,60.0,0.0,0.2816329896450043,2.0,75.0,8.0,7.0,8.0,0.27282804507546227,13.53645327822387,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-807,3406",52.52807120443167,0.0208333320915699,64.44505861231687,0.015312673524022102,0.3417467176914215,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,24,10.0,310.0,77.0,0.0,250.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.5072101950645447,2.0,76.0,7.1000000000000005,7.0,8.0,0.043156097617255626,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-806,3406",52.52807120443167,0.0208333320915699,64.44505861231687,0.015367305837571621,0.3539172410964966,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,24,8.0,322.0,75.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.3754940629005432,1.0,76.0,7.3,8.0,8.0,0.3643939554659556,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-803,3406",52.52807120443167,0.0208333320915699,64.44505861231687,0.012128136120736599,0.35630002617836,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,24,8.0,322.0,75.0,0.09019607843137255,262.0,66.0357635170624,0.24380000000000002,60.0,0.09019607843137255,0.46373534202575684,2.0,76.0,7.1000000000000005,7.0,8.0,0.18620825721245296,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-799,3406",52.52807120443167,0.015416665002703667,64.44505861231687,0.006169223692268133,0.3261653780937195,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,4,8.0,322.0,75.0,0.09019607843137255,262.0,66.0357635170624,0.24380000000000002,60.0,0.09019607843137255,0.5632309913635254,2.0,75.0,7.1000000000000005,7.0,8.0,1.1078094255453617,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-787,3406",52.52807120443167,0.018611110746860504,64.44505861231687,0.0032868660055100918,0.3376608192920685,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.09387832880020142,2.0,74.0,7.1000000000000005,7.0,8.0,0.020460705654155982,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-786,3406",52.52807120443167,0.019999999552965164,64.44505861231687,0.013121944852173328,0.35356995463371277,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.09387832880020142,1.0,75.0,6.9,8.0,8.0,0.020460705654155982,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-785,3406",52.52807120443167,0.019999999552965164,64.44505861231687,0.015612547285854816,0.33562159538269043,277.60784912109375,54.349924204644786,0.056932300329208374,286.6326904296875,0.052380176572257645,24,8.0,322.0,76.0,0.0,262.0,66.0357635170624,0.24380000000000002,60.0,0.0,0.25003212690353394,2.0,74.0,7.4,8.0,8.0,0.2041115289832725,13.550660583012245,"{""type"":""MultiPoint"",""coordinates"":[]}"
