system:index,DMC,EDDI,FFMC,NDMI_mean,NDVI_mean,ann_dewpoint,ann_humidity,ann_precip,ann_temp,bfi,crop_mode,fall_frost_days,first_fall_frost,frost_days,fuel_load,growing_season_days,heat_index,lai,last_spring_frost,pct_tree_cover,slope_deg,soil_organic_C,soil_pH,soil_quality_index,soil_texture,spring_frost_days,topo_index,wind_chill,.geo
"-524,3333",56.37912415427154,0.18986110389232635,65.91996801976407,0.030666638165712357,0.39425912499427795,279.2035217285156,59.10191121229524,0.061298828572034836,287.05108642578125,0.051634543069006895,1,7.0,324.0,68.0,0.0,264.0,65.09926646107256,0.24380000000000002,60.0,0.0,0.09365604817867279,2.0,73.0,8.0,7.0,6.0,0.10072597441619754,13.859656198903497,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-523,3333",56.37912415427154,0.18986110389232635,65.91996801976407,0.038143616169691086,0.40137436985969543,279.2035217285156,59.10191121229524,0.061298828572034836,287.05108642578125,0.051634543069006895,24,7.0,324.0,68.0,0.0,264.0,65.09926646107256,0.24380000000000002,60.0,0.0,0.147120863199234,2.0,72.0,8.0,7.0,6.0,0.08119988601750829,13.859656198903497,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-522,3333",59.95437381243178,0.18986110389232635,66.49280037118052,0.0386647991836071,0.40905919671058655,279.344482421875,59.60499096452022,0.06521930545568466,287.070556640625,0.051634543069006895,24,7.0,324.0,68.0,0.0,264.0,65.01878780992351,0.24380000000000002,60.0,0.0,0.22068068385124207,2.0,71.0,8.0,7.0,6.0,0.12179949182815789,13.920581935268252,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-516,3333",59.95437381243178,0.18902777135372162,66.49280037118052,0.07727225869894028,0.46371179819107056,279.344482421875,59.60499096452022,0.06521930545568466,287.070556640625,0.051634543069006895,24,7.0,324.0,68.0,0.0,264.0,65.01878780992351,0.24380000000000002,60.0,0.0,0.05796816572546959,2.0,70.0,8.0,7.0,6.0,0.11593633145093918,13.920581935268252,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-515,3333",59.95437381243178,0.18902777135372162,66.49280037118052,0.07121580094099045,0.43772879242897034,279.344482421875,59.60499096452022,0.06521930545568466,287.070556640625,0.051634543069006895,24,7.0,324.0,68.0,0.0,264.0,65.01878780992351,0.24380000000000002,60.0,0.0,0.13730378448963165,2.0,70.0,8.0,7.0,6.0,0.2248292312020649,13.920581935268252,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-513,3333",59.95437381243178,0.19249999523162842,66.49280037118052,0.06391162425279617,0.378764808177948,279.344482421875,59.60499096452022,0.06521930545568466,287.070556640625,0.051634543069006895,24,7.0,324.0,69.0,3.0,264.0,65.01878780992351,0.24380000000000002,60.0,3.0,0.147120863199234,2.0,70.0,9.4,9.0,6.0,0.08119988601750829,13.920581935268252,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-510,3333",59.95437381243178,0.19249999523162842,66.49280037118052,0.1032007560133934,0.491777241230011,279.344482421875,59.60499096452022,0.06521930545568466,287.070556640625,0.051634543069006895,24,7.0,324.0,69.0,1.9098039215686273,264.0,65.01878780992351,0.24380000000000002,60.0,1.9098039215686273,0.22816705703735352,2.0,71.0,8.0,7.0,6.0,0.11370320197937496,13.920581935268252,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-509,3333",59.128350154427274,0.19249999523162842,66.26043753923997,0.10843539983034134,0.49872997403144836,279.1098327636719,58.89527371210544,0.06429503113031387,287.0052490234375,0.051634543069006895,24,7.0,324.0,69.0,1.9098039215686273,264.0,65.1898909433572,0.24380000000000002,60.0,1.9098039215686273,0.05796816572546959,2.0,72.0,8.0,7.0,6.0,0.023276533262247698,13.83931007028572,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-508,3333",59.128350154427274,0.19249999523162842,66.26043753923997,0.08270753920078278,0.46947887539863586,279.1098327636719,58.89527371210544,0.06429503113031387,287.0052490234375,0.051634543069006895,24,7.0,324.0,69.0,0.9098039215686274,264.0,65.1898909433572,0.24380000000000002,60.0,0.9098039215686274,0.07356500625610352,2.0,71.0,8.0,7.0,6.0,0.0406024678823662,13.83931007028572,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-558,3334",56.37912415427154,0.15569444000720978,65.91996801976407,0.058520831167697906,0.39705443382263184,279.2035217285156,59.10191121229524,0.061298828572034836,287.05108642578125,0.051634543069006895,24,7.0,324.0,69.0,0.0,264.0,65.09926646107256,0.24380000000000002,60.0,0.0,0.147120863199234,2.0,73.0,8.0,7.0,6.0,0.2919439854940339,13.859656198903497,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-554,3334",56.37912415427154,0.1758333295583725,65.91996801976407,0.05088929086923599,0.42514950037002563,279.2035217285156,59.10191121229524,0.061298828572034836,287.05108642578125,0.051634543069006895,24,7.0,324.0,69.0,0.0,264.0,65.09926646107256,0.24380000000000002,60.0,0.0,0.05796816572546959,2.0,72.0,8.0,7.0,6.0,0.11593633145093918,13.859656198903497,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-553,3334",56.37912415427154,0.1758333295583725,65.91996801976407,0.042412351816892624,0.4279091954231262,279.2035217285156,59.10191121229524,0.061298828572034836,287.05108642578125,0.051634543069006895,24,7.0,324.0,69.0,0.0,264.0,65.09926646107256,0.24380000000000002,60.0,0.0,0.09365604817867279,2.0,73.0,8.0,7.0,6.0,0.10072597441619754,13.859656198903497,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-547,3334",56.37912415427154,0.18486110866069794,65.91996801976407,0.04826344549655914,0.3963044285774231,279.2035217285156,59.10191121229524,0.061298828572034836,287.05108642578125,0.051634543069006895,24,7.0,324.0,68.0,0.0,264.0,65.09926646107256,0.24380000000000002,60.0,0.0,0.15812914073467255,2.0,69.0,8.0,7.0,6.0,0.28679943467492913,13.859656198903497,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-546,3334",56.37912415427154,0.18486110866069794,65.91996801976407,0.044320981949567795,0.4113762676715851,279.2035217285156,59.10191121229524,0.061298828572034836,287.05108642578125,0.051634543069006895,24,7.0,324.0,68.0,0.0,264.0,65.09926646107256,0.24380000000000002,60.0,0.0,0.147120863199234,2.0,73.0,8.0,7.0,6.0,0.08119988601750829,13.859656198903497,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-538,3334",56.860944308025516,0.18194444477558136,65.87703324272617,0.03770493343472481,0.3717021346092224,278.9842224121094,58.487449382946025,0.061809241771698,286.9783630371094,0.051634543069006895,1,7.0,324.0,68.0,0.0,264.0,65.26839165197507,0.24380000000000002,60.0,0.0,0.17390401661396027,2.0,68.0,10.0,9.0,6.0,0.34780803322792053,13.802741470141074,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-535,3334",56.860944308025516,0.1837500035762787,65.87703324272617,0.037827979773283005,0.3794417381286621,278.9842224121094,58.487449382946025,0.061809241771698,286.9783630371094,0.051634543069006895,1,7.0,324.0,68.0,0.09019607843137255,264.0,65.26839165197507,0.24380000000000002,60.0,0.09019607843137255,0.07356500625610352,2.0,72.0,10.0,9.0,6.0,0.0406024678823662,13.802741470141074,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-534,3334",56.860944308025516,0.1837500035762787,65.87703324272617,0.023690316826105118,0.3653069734573364,278.9842224121094,58.487449382946025,0.061809241771698,286.9783630371094,0.051634543069006895,1,7.0,324.0,68.0,0.09019607843137255,264.0,65.26839165197507,0.24380000000000002,60.0,0.09019607843137255,0.07356500625610352,2.0,71.0,9.1,9.0,6.0,0.0406024678823662,13.802741470141074,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-533,3334",56.860944308025516,0.1837500035762787,65.87703324272617,0.002295402344316244,0.35877516865730286,278.9842224121094,58.487449382946025,0.061809241771698,286.9783630371094,0.051634543069006895,24,7.0,324.0,68.0,1.0,264.0,65.26839165197507,0.24380000000000002,60.0,1.0,0.15813744068145752,2.0,71.0,10.0,9.0,6.0,0.15458574107412726,13.802741470141074,"{""type"":""MultiPoint"",""coordinates"":[]}"
