system:index,DMC,EDDI,FFMC,NDMI_mean,NDVI_mean,ann_dewpoint,ann_humidity,ann_precip,ann_temp,bfi,crop_mode,fall_frost_days,first_fall_frost,frost_days,fuel_load,growing_season_days,heat_index,lai,last_spring_frost,pct_tree_cover,slope_deg,soil_organic_C,soil_pH,soil_quality_index,soil_texture,spring_frost_days,topo_index,wind_chill,.geo
"-203,3580",70.70933219760354,0.20328767597675323,67.98527005912473,0.06983541697263718,0.45377641916275024,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,1,1.0,323.0,70.0,6.0,263.0,64.06701859148438,0.24380000000000002,60.0,6.0,0.3458220660686493,3.0,71.0,6.5,5.0,3.0,0.0024824165886554827,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-202,3580",70.70933219760354,0.20328767597675323,67.98527005912473,0.07040989398956299,0.44872942566871643,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,1,1.0,323.0,70.0,6.0,263.0,64.06701859148438,0.24380000000000002,60.0,6.0,0.14945952594280243,2.0,71.0,5.0,4.0,3.0,0.08249065568865943,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-178,3580",70.70933219760354,0.16287671029567719,67.98527005912473,0.061641596257686615,0.4476177990436554,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,5,1.0,323.0,68.0,0.0,263.0,64.06701859148438,0.24380000000000002,60.0,0.0,0.3785568177700043,3.0,70.0,6.5,5.0,3.0,0.06516451113273598,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-174,3580",70.70933219760354,0.16287671029567719,67.98527005912473,0.0564214251935482,0.4219004511833191,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,5,1.0,323.0,68.0,0.09019607843137255,263.0,64.06701859148438,0.24380000000000002,60.0,0.09019607843137255,0.5674455165863037,4.0,69.0,6.3,4.0,3.0,0.2629971410827296,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-173,3580",70.70933219760354,0.16287671029567719,67.98527005912473,0.06192699819803238,0.45116156339645386,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,5,1.0,323.0,68.0,0.09019607843137255,263.0,64.06701859148438,0.24380000000000002,60.0,0.09019607843137255,0.5796620845794678,3.0,69.0,6.5,5.0,3.0,0.23275747341181752,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-171,3580",69.03966402521601,0.16506849229335785,67.96707278804737,0.06346408277750015,0.46351516246795654,280.5301513671875,62.17055020729752,0.07497277110815048,287.677978515625,0.05039721891408471,24,1.0,323.0,68.0,0.9098039215686274,263.0,63.79473204281743,0.24380000000000002,60.0,0.9098039215686274,0.5047732591629028,2.0,70.0,7.1000000000000005,7.0,3.0,0.2785733792755996,14.961685082297057,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-218,3581",71.37723897765169,0.2335616499185562,67.96520989260303,0.09202270954847336,0.5463388562202454,280.1543273925781,61.62165916676291,0.0776180624961853,287.4170837402344,0.05039721891408471,24,1.0,323.0,71.0,10.360784313725489,263.0,64.25207481842602,0.24380000000000002,60.0,10.360784313725489,0.5358195900917053,3.0,69.0,6.5,5.0,3.0,0.33017521841370734,14.682748416509561,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-214,3581",70.70933219760354,0.2335616499185562,67.98527005912473,0.09588410705327988,0.5200307369232178,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,5,1.0,323.0,70.0,0.9098039215686274,263.0,64.06701859148438,0.24380000000000002,60.0,0.9098039215686274,0.757239043712616,3.0,72.0,5.8,4.0,3.0,0.1606951331787099,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-211,3581",70.70933219760354,0.21794520318508148,67.98527005912473,0.08868251740932465,0.5185530781745911,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,24,1.0,323.0,70.0,0.0,263.0,64.06701859148438,0.24380000000000002,60.0,0.0,0.18928232789039612,2.0,70.0,6.0,5.0,3.0,0.13216048734018895,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-210,3581",70.70933219760354,0.21794520318508148,67.98527005912473,0.1059030294418335,0.5518419742584229,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,24,1.0,323.0,70.0,0.0,263.0,64.06701859148438,0.24380000000000002,60.0,0.0,0.37366795539855957,2.0,70.0,6.0,5.0,3.0,0.20623720339153354,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-206,3581",70.70933219760354,0.20328767597675323,67.98527005912473,0.08328855782747269,0.5092724561691284,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,24,1.0,323.0,70.0,5.458823529411765,263.0,64.06701859148438,0.24380000000000002,60.0,5.458823529411765,0.6417027115821838,2.0,72.0,6.0,5.0,3.0,1.2783911903217697,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-205,3581",70.70933219760354,0.20328767597675323,67.98527005912473,0.08717766404151917,0.5137689113616943,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,24,1.0,323.0,70.0,5.458823529411765,263.0,64.06701859148438,0.24380000000000002,60.0,5.458823529411765,0.7495485544204712,2.0,73.0,6.0,5.0,3.0,1.4859591416911395,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-203,3581",70.70933219760354,0.20328767597675323,67.98527005912473,0.08417893946170807,0.4869315028190613,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,1,1.0,323.0,70.0,6.0,263.0,64.06701859148438,0.24380000000000002,60.0,6.0,0.05796816572546959,2.0,72.0,5.0,4.0,3.0,0.11593633145093918,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-189,3581",70.70933219760354,0.17027397453784943,67.98527005912473,0.062161363661289215,0.4630851745605469,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,5,1.0,323.0,68.0,0.09019607843137255,263.0,64.06701859148438,0.24380000000000002,60.0,0.09019607843137255,0.6215047240257263,3.0,72.0,6.5,5.0,3.0,0.49525428627478685,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-187,3581",70.70933219760354,0.17027397453784943,67.98527005912473,0.07568001002073288,0.49821415543556213,280.3027038574219,61.82322494292212,0.07684754580259323,287.5238037109375,0.05039721891408471,5,1.0,323.0,68.0,0.45098039215686275,263.0,64.06701859148438,0.24380000000000002,60.0,0.45098039215686275,0.37831878662109375,3.0,71.0,6.5,5.0,3.0,0.7422243346517763,14.797534555993312,"{""type"":""MultiPoint"",""coordinates"":[]}"
