system:index,DMC,EDDI,FFMC,NDMI_mean,NDVI_mean,ann_dewpoint,ann_humidity,ann_precip,ann_temp,bfi,crop_mode,fall_frost_days,first_fall_frost,frost_days,fuel_load,growing_season_days,heat_index,lai,last_spring_frost,pct_tree_cover,slope_deg,soil_organic_C,soil_pH,soil_quality_index,soil_texture,spring_frost_days,topo_index,wind_chill,.geo
"-913,3291",33.54844591736997,0.42794519662857056,57.22497126218394,0.06386449933052063,0.3875954747200012,276.6697082519531,48.268486155446155,0.03523901849985123,287.444091796875,0.0471025696181319,1,4.0,316.0,72.0,0.0,256.0,64.7989543011704,0.24380000000000002,60.0,0.0,0.35544440150260925,2.0,71.0,8.0,7.0,3.0,0.36400875870175625,14.550594813992703,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-900,3291",33.54844591736997,0.4584931433200836,57.22497126218394,0.1030246764421463,0.5575417876243591,276.6697082519531,48.268486155446155,0.03523901849985123,287.444091796875,0.0471025696181319,36,4.0,316.0,72.0,0.0,256.0,64.7989543011704,0.24380000000000002,60.0,0.0,0.4549036920070648,3.0,74.0,8.5,7.0,3.0,0.4243961504221893,14.550594813992703,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-938,3292",33.740342469493854,0.416164368391037,57.112710007132215,0.020020537078380585,0.33661365509033203,276.3219299316406,46.9138902125316,0.03527987375855446,287.5041198730469,0.0471025696181319,24,4.0,316.0,72.0,0.0,256.0,64.6480876970446,0.24380000000000002,60.0,0.0,0.05796816572546959,2.0,79.0,8.0,7.0,3.0,0.11593633145093918,14.605367856084138,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-921,3292",33.740342469493854,0.42630136013031006,57.112710007132215,0.12536956369876862,0.5858893394470215,276.3219299316406,46.9138902125316,0.03527987375855446,287.5041198730469,0.0471025696181319,36,4.0,316.0,72.0,0.0,256.0,64.6480876970446,0.24380000000000002,60.0,0.0,0.1869083046913147,4.0,72.0,9.0,7.0,3.0,0.315153799021404,14.605367856084138,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-916,3292",33.54844591736997,0.42630136013031006,57.22497126218394,0.1363077610731125,0.5899410843849182,276.6697082519531,48.268486155446155,0.03523901849985123,287.444091796875,0.0471025696181319,225,4.0,316.0,72.0,0.0,256.0,64.7989543011704,0.24380000000000002,60.0,0.0,0.15765121579170227,3.0,70.0,8.5,7.0,3.0,0.2793639218898294,14.550594813992703,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-914,3292",33.54844591736997,0.42794519662857056,57.22497126218394,0.09985726326704025,0.47584009170532227,276.6697082519531,48.268486155446155,0.03523901849985123,287.444091796875,0.0471025696181319,36,4.0,316.0,72.0,0.0,256.0,64.7989543011704,0.24380000000000002,60.0,0.0,0.1887219250202179,2.0,73.0,8.0,7.0,3.0,0.14689039918699068,14.550594813992703,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-913,3292",33.54844591736997,0.42794519662857056,57.22497126218394,0.07575368136167526,0.4058120846748352,276.6697082519531,48.268486155446155,0.03523901849985123,287.444091796875,0.0471025696181319,1,4.0,316.0,72.0,0.0,256.0,64.7989543011704,0.24380000000000002,60.0,0.0,0.15765121579170227,2.0,72.0,8.0,7.0,3.0,0.004535994875186566,14.550594813992703,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-907,3292",33.54844591736997,0.44479450583457947,57.22497126218394,0.0673738345503807,0.46892961859703064,276.6697082519531,48.268486155446155,0.03523901849985123,287.444091796875,0.0471025696181319,4,4.0,316.0,72.0,0.0,256.0,64.7989543011704,0.24380000000000002,60.0,0.0,0.5630654096603394,2.0,77.0,8.0,7.0,3.0,0.023646675021752824,14.550594813992703,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-890,3292",33.54844591736997,0.4646575152873993,57.22497126218394,0.0014345303643494844,0.3117861747741699,276.6697082519531,48.268486155446155,0.03523901849985123,287.444091796875,0.0471025696181319,1,4.0,316.0,72.0,0.0,256.0,64.7989543011704,0.24380000000000002,60.0,0.0,0.18691521883010864,2.0,75.0,8.0,7.0,3.0,0.020284807035004484,14.550594813992703,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-937,3293",33.740342469493854,0.41808217763900757,57.112710007132215,0.0029476869385689497,0.3731900751590729,276.3219299316406,46.9138902125316,0.03527987375855446,287.5041198730469,0.0471025696181319,24,4.0,316.0,72.0,0.0,256.0,64.6480876970446,0.24380000000000002,60.0,0.0,0.22745542228221893,2.0,81.0,8.0,7.0,3.0,0.41840060185777966,14.605367856084138,"{""type"":""MultiPoint"",""coordinates"":[]}"
