Year,State,GEOID,State ANSI,County ANSI,Value
2023,ILLINOIS,17000,17,,3.65
2023,ILLINOIS,17039,17,39,2.55
2023,ILLINOIS,17107,17,107,4.95
2023,ILLINOIS,17115,17,115,3.2
2023,ILLINOIS,17123,17,123,3.8
2023,ILLINOIS,17143,17,143,4.15
2023,ILLINOIS,17179,17,179,3.9
2023,ILLINOIS,17075,17,75,3.5
2023,ILLINOIS,17091,17,91,3.35
2023,ILLINOIS,17105,17,105,5.5
2023,ILLINOIS,17147,17,147,4.85
2023,ILLINOIS,17183,17,183,3.5
2023,ILLINOIS,17029,17,29,2.85
2023,ILLINOIS,17033,17,33,3.35
2023,ILLINOIS,17035,17,35,4.5
2023,ILLINOIS,17041,17,41,5.45
2023,ILLINOIS,17049,17,49,3
2023,ILLINOIS,17051,17,51,2.95
2023,ILLINOIS,17079,17,79,5.25
2023,ILLINOIS,17121,17,121,3.15
2023,ILLINOIS,17139,17,139,6.9
2023,ILLINOIS,17173,17,173,2.65
2023,ILLINOIS,17031,17,31,2.25
2023,ILLINOIS,17037,17,37,3.3
2023,ILLINOIS,17063,17,63,2
2023,ILLINOIS,17089,17,89,03.05
2023,ILLINOIS,17093,17,93,4.4
2023,ILLINOIS,17099,17,99,4.5
2023,ILLINOIS,17097,17,97,2
2023,ILLINOIS,17111,17,111,3.65
2023,ILLINOIS,17011,17,11,3.1
2023,ILLINOIS,17015,17,15,5.5
2023,ILLINOIS,17073,17,73,4.4
2023,ILLINOIS,17085,17,85,3.9
2023,ILLINOIS,17103,17,103,4.5
2023,ILLINOIS,17131,17,131,3.95
2023,ILLINOIS,17141,17,141,04.05
2023,ILLINOIS,17161,17,161,4.6
2023,ILLINOIS,17177,17,177,4.4
2023,ILLINOIS,17195,17,195,4.4
2023,ILLINOIS,17201,17,201,3.75
2023,ILLINOIS,17055,17,55,2.35
2023,ILLINOIS,17127,17,127,3.9
2023,ILLINOIS,17165,17,165,3.85
2023,ILLINOIS,17185,17,185,2.75
2023,ILLINOIS,17027,17,27,5.1
2023,ILLINOIS,17087,17,87,2.1
2023,ILLINOIS,17133,17,133,3.65
2023,ILLINOIS,17145,17,145,2.25
2023,ILLINOIS,17157,17,157,2.75
2023,ILLINOIS,17181,17,181,2.55
2023,ILLINOIS,17199,17,199,2.5
2023,ILLINOIS,17001,17,1,2.1
2023,ILLINOIS,17009,17,9,4.15
2023,ILLINOIS,17057,17,57,3.75
2023,ILLINOIS,17067,17,67,3.35
2023,ILLINOIS,17095,17,95,3.5
2023,ILLINOIS,17109,17,109,4.2
2023,ILLINOIS,17187,17,187,5.9
2023,ILLINOIS,17013,17,13,2.9
2023,ILLINOIS,17021,17,21,5.3
2023,ILLINOIS,17083,17,83,3.55
2023,ILLINOIS,17117,17,117,03.05
2023,ILLINOIS,17119,17,119,3.45
2023,ILLINOIS,17135,17,135,2.4
2023,ILLINOIS,17137,17,137,3.5
2023,ILLINOIS,17149,17,149,3.9
2023,NEW MEXICO,35000,35,,2.85
2023,NEW MEXICO,35007,35,7,2.8
2023,NEW MEXICO,35011,35,11,5.15
2023,NEW MEXICO,35033,35,33,1.2
2023,NEW MEXICO,35037,35,37,5.45
2023,NEW MEXICO,35041,35,41,6.5
2023,NEW MEXICO,35059,35,59,7.15
2023,NEW MEXICO,35006,35,6,3
2023,NEW MEXICO,35039,35,39,1.65
2023,NEW MEXICO,35043,35,43,2.75
2023,NEW MEXICO,35049,35,49,2.9
2023,NEW MEXICO,35055,35,55,1.65
2023,NEW MEXICO,35061,35,61,3.85
2023,NEW MEXICO,35005,35,5,8.4
2023,NEW MEXICO,35013,35,13,6.75
2023,NEW MEXICO,35015,35,15,6.15
2023,NEW MEXICO,35025,35,25,8.55
2023,NEW MEXICO,35035,35,35,6.5
2023,NEW MEXICO,35017,35,17,3.6
2023,NEW MEXICO,35023,35,23,8.9
2023,NEW MEXICO,35051,35,51,7.25
2023,NEW MEXICO,35053,35,53,3.25
2023,NORTH DAKOTA,38000,38,,1.6
2023,NORTH DAKOTA,38027,38,27,1.8
2023,NORTH DAKOTA,38031,38,31,2.5
2023,NORTH DAKOTA,38043,38,43,1.95
2023,NORTH DAKOTA,38083,38,83,1.5
2023,NORTH DAKOTA,38093,38,93,2.25
2023,NORTH DAKOTA,38003,38,3,2.35
2023,NORTH DAKOTA,38017,38,17,2.95
2023,NORTH DAKOTA,38039,38,39,2.3
2023,NORTH DAKOTA,38091,38,91,2.55
2023,NORTH DAKOTA,38097,38,97,2.85
2023,NORTH DAKOTA,38005,38,5,1.75
2023,NORTH DAKOTA,38049,38,49,1.6
2023,NORTH DAKOTA,38079,38,79,1.75
2023,NORTH DAKOTA,38035,38,35,2.55
2023,NORTH DAKOTA,38063,38,63,2.4
2023,NORTH DAKOTA,38095,38,95,1.4
2023,NORTH DAKOTA,38099,38,99,2.15
2023,NORTH DAKOTA,38013,38,13,1.3
2023,NORTH DAKOTA,38023,38,23,1.35
2023,NORTH DAKOTA,38061,38,61,1.35
2023,NORTH DAKOTA,38105,38,105,1.2
2023,NORTH DAKOTA,38015,38,15,1.95
2023,NORTH DAKOTA,38029,38,29,2.4
2023,NORTH DAKOTA,38059,38,59,1.9
2023,NORTH DAKOTA,38085,38,85,1.7
2023,NORTH DAKOTA,38021,38,21,3.2
2023,NORTH DAKOTA,38047,38,47,2.45
2023,NORTH DAKOTA,38051,38,51,2.2
2023,NORTH DAKOTA,38073,38,73,3.1
2023,NORTH DAKOTA,38081,38,81,2.55
2023,NORTH DAKOTA,38001,38,1,1.45
2023,NORTH DAKOTA,38007,38,7,1.2
2023,NORTH DAKOTA,38011,38,11,1.4
2023,NORTH DAKOTA,38033,38,33,1.25
2023,NORTH DAKOTA,38087,38,87,1.35
2023,NORTH DAKOTA,38025,38,25,1.4
2023,NORTH DAKOTA,38065,38,65,1.55
2022,ILLINOIS,17000,17,,3.4
2022,ILLINOIS,17039,17,39,3.45
2022,ILLINOIS,17107,17,107,2.95
2022,ILLINOIS,17115,17,115,3.1
2022,ILLINOIS,17123,17,123,4.2
2022,ILLINOIS,17125,17,125,3.5
2022,ILLINOIS,17113,17,113,3.2
2022,ILLINOIS,17129,17,129,3
2022,ILLINOIS,17143,17,143,03.05
2022,ILLINOIS,17179,17,179,2.3
2022,ILLINOIS,17203,17,203,03.05
2022,ILLINOIS,17019,17,19,3.1
2022,ILLINOIS,17053,17,53,3.1
2022,ILLINOIS,17075,17,75,04.05
2022,ILLINOIS,17091,17,91,4
2022,ILLINOIS,17105,17,105,3.5
2022,ILLINOIS,17147,17,147,4.35
2022,ILLINOIS,17183,17,183,3.95
2022,ILLINOIS,17025,17,25,3.25
2022,ILLINOIS,17033,17,33,2.75
2022,ILLINOIS,17035,17,35,4.7
2022,ILLINOIS,17041,17,41,4.45
2022,ILLINOIS,17049,17,49,4.6
2022,ILLINOIS,17051,17,51,3.65
2022,ILLINOIS,17079,17,79,4
2022,ILLINOIS,17121,17,121,03.05
2022,ILLINOIS,17139,17,139,4.95
2022,ILLINOIS,17173,17,173,3.45
2022,ILLINOIS,17037,17,37,3.85
2022,ILLINOIS,17043,17,43,3.55
2022,ILLINOIS,17089,17,89,3.5
2022,ILLINOIS,17093,17,93,3.1
2022,ILLINOIS,17099,17,99,4.75
2022,ILLINOIS,17197,17,197,2.8
2022,ILLINOIS,17011,17,11,4.15
2022,ILLINOIS,17015,17,15,4.8
2022,ILLINOIS,17073,17,73,3.85
2022,ILLINOIS,17085,17,85,3.8
2022,ILLINOIS,17103,17,103,3.6
2022,ILLINOIS,17131,17,131,3.95
2022,ILLINOIS,17141,17,141,4.3
2022,ILLINOIS,17161,17,161,3.75
2022,ILLINOIS,17177,17,177,4
2022,ILLINOIS,17201,17,201,2.6
2022,ILLINOIS,17081,17,81,3.55
2022,ILLINOIS,17165,17,165,3.7
2022,ILLINOIS,17027,17,27,4.5
2022,ILLINOIS,17077,17,77,2.45
2022,ILLINOIS,17087,17,87,1.6
2022,ILLINOIS,17133,17,133,4
2022,ILLINOIS,17181,17,181,1.75
2022,ILLINOIS,17189,17,189,6.45
2022,ILLINOIS,17199,17,199,1.8
2022,ILLINOIS,17001,17,1,2.15
2022,ILLINOIS,17009,17,9,3.4
2022,ILLINOIS,17057,17,57,2.9
2022,ILLINOIS,17067,17,67,4.6
2022,ILLINOIS,17071,17,71,3.85
2022,ILLINOIS,17095,17,95,3.25
2022,ILLINOIS,17169,17,169,3.65
2022,ILLINOIS,17187,17,187,4.65
2022,ILLINOIS,17005,17,5,4.85
2022,ILLINOIS,17013,17,13,3.85
2022,ILLINOIS,17061,17,61,4.15
2022,ILLINOIS,17083,17,83,4.35
2022,ILLINOIS,17117,17,117,4.85
2022,ILLINOIS,17119,17,119,3.85
2022,ILLINOIS,17135,17,135,2.85
2022,ILLINOIS,17137,17,137,3.35
2022,NEW MEXICO,35000,35,,3.3
2022,NEW MEXICO,35007,35,7,1.9
2022,NEW MEXICO,35011,35,11,5.85
2022,NEW MEXICO,35057,35,57,5.65
2022,NEW MEXICO,35001,35,1,4
2022,NEW MEXICO,35043,35,43,4.15
2022,NEW MEXICO,35049,35,49,1.95
2022,NEW MEXICO,35055,35,55,02.05
2022,NEW MEXICO,35005,35,5,7.35
2022,NEW MEXICO,35013,35,13,7.3
2022,NEW MEXICO,35015,35,15,6.85
2022,NEW MEXICO,35025,35,25,8.55
2022,NEW MEXICO,35023,35,23,7.1
2022,NEW MEXICO,35051,35,51,6.9
2022,NEW MEXICO,35053,35,53,4.8
2022,NORTH DAKOTA,38000,38,,1.85
2022,NORTH DAKOTA,38027,38,27,2.95
2022,NORTH DAKOTA,38031,38,31,3.55
2022,NORTH DAKOTA,38043,38,43,2.15
2022,NORTH DAKOTA,38093,38,93,1.95
2022,NORTH DAKOTA,38103,38,103,2.9
2022,NORTH DAKOTA,38003,38,3,2.6
2022,NORTH DAKOTA,38017,38,17,3.7
2022,NORTH DAKOTA,38039,38,39,2.95
2022,NORTH DAKOTA,38091,38,91,2.7
2022,NORTH DAKOTA,38097,38,97,2.95
2022,NORTH DAKOTA,38005,38,5,2.25
2022,NORTH DAKOTA,38049,38,49,2
2022,NORTH DAKOTA,38079,38,79,2.5
2022,NORTH DAKOTA,38019,38,19,2.3
2022,NORTH DAKOTA,38035,38,35,2.9
2022,NORTH DAKOTA,38063,38,63,2.3
2022,NORTH DAKOTA,38095,38,95,1.6
2022,NORTH DAKOTA,38099,38,99,1.7
2022,NORTH DAKOTA,38013,38,13,2
2022,NORTH DAKOTA,38023,38,23,1.65
2022,NORTH DAKOTA,38061,38,61,1.45
2022,NORTH DAKOTA,38075,38,75,1.65
2022,NORTH DAKOTA,38101,38,101,1.65
2022,NORTH DAKOTA,38105,38,105,1.5
2022,NORTH DAKOTA,38015,38,15,1.8
2022,NORTH DAKOTA,38029,38,29,2.35
2022,NORTH DAKOTA,38059,38,59,1.75
2022,NORTH DAKOTA,38085,38,85,1.8
2022,NORTH DAKOTA,38021,38,21,3.8
2022,NORTH DAKOTA,38045,38,45,2.4
2022,NORTH DAKOTA,38047,38,47,2.35
2022,NORTH DAKOTA,38051,38,51,2.45
2022,NORTH DAKOTA,38073,38,73,3.45
2022,NORTH DAKOTA,38077,38,77,2.8
2022,NORTH DAKOTA,38081,38,81,2.25
2022,NORTH DAKOTA,38001,38,1,1.75
2022,NORTH DAKOTA,38007,38,7,1.4
2022,NORTH DAKOTA,38033,38,33,1.25
2022,NORTH DAKOTA,38087,38,87,1.55
2022,NORTH DAKOTA,38089,38,89,2
2022,NORTH DAKOTA,38025,38,25,1.65
2022,NORTH DAKOTA,38053,38,53,1.9
2022,NORTH DAKOTA,38055,38,55,1.9
2022,NORTH DAKOTA,38057,38,57,1.65
2022,NORTH DAKOTA,38065,38,65,1.7
2021,ILLINOIS,17000,17,,3.6
2021,ILLINOIS,17123,17,123,4.8
2021,ILLINOIS,17143,17,143,3.5
2021,ILLINOIS,17179,17,179,4.15
2021,ILLINOIS,17053,17,53,3.85
2021,ILLINOIS,17091,17,91,4.3
2021,ILLINOIS,17139,17,139,4.65
2021,ILLINOIS,17031,17,31,2.45
2021,ILLINOIS,17093,17,93,3.75
2021,ILLINOIS,17097,17,97,2.55
2021,ILLINOIS,17015,17,15,4
