Year,State,GEOID,State ANSI,County ANSI,Value
2023,ALABAMA,1000,1,,143.7
2023,ALABAMA,1047,1,47,133
2023,ALABAMA,1051,1,51,133.8
2023,ALABAMA,1087,1,87,138.6
2023,ALABAMA,1091,1,91,115.3
2023,ALABAMA,1105,1,105,102.9
2023,ALABAMA,1003,1,3,185.2
2023,ALABAMA,1053,1,53,167.1
2023,ALABAMA,1099,1,99,183.7
2023,ALABAMA,1009,1,9,146.9
2023,ALABAMA,1015,1,15,180.3
2023,ALABAMA,1019,1,19,153.2
2023,ALABAMA,1043,1,43,174.9
2023,ALABAMA,1049,1,49,175.5
2023,ALABAMA,1055,1,55,140.9
2023,ALABAMA,1071,1,71,164.3
2023,ALABAMA,1095,1,95,174.2
2023,ALABAMA,1033,1,33,172
2023,ALABAMA,1059,1,59,161.3
2023,ALABAMA,1077,1,77,155.6
2023,ALABAMA,1079,1,79,171.9
2023,ALABAMA,1083,1,83,182.3
2023,ALABAMA,1089,1,89,201.2
2023,ALABAMA,1093,1,93,141.3
2023,ALABAMA,1103,1,103,177
2023,ALABAMA,1021,1,21,165
2023,ALABAMA,1057,1,57,135.6
2023,ALABAMA,1111,1,111,149.4
2023,ALABAMA,1121,1,121,170.2
2023,ALABAMA,1125,1,125,167.9
2023,ALABAMA,1005,1,5,186.9
2023,ALABAMA,1031,1,31,111
2023,ALABAMA,1039,1,39,140.1
2023,ALABAMA,1045,1,45,141.8
2023,ALABAMA,1061,1,61,135.6
2023,ALABAMA,1067,1,67,159.8
2023,ALABAMA,1069,1,69,166.5
2023,ALABAMA,1109,1,109,145.8
2023,ARKANSAS,5000,5,,179.6
2023,ARKANSAS,5001,5,1,184.4
2023,ARKANSAS,5035,5,35,189.2
2023,ARKANSAS,5037,5,37,191.5
2023,ARKANSAS,5077,5,77,192.2
2023,ARKANSAS,5085,5,85,173.5
2023,ARKANSAS,5095,5,95,164.6
2023,ARKANSAS,5107,5,107,189.5
2023,ARKANSAS,5117,5,117,192.3
2023,ARKANSAS,5123,5,123,185.9
2023,ARKANSAS,5147,5,147,156.3
2023,ARKANSAS,5021,5,21,183
2023,ARKANSAS,5055,5,55,191.2
2023,ARKANSAS,5067,5,67,186
2023,ARKANSAS,5093,5,93,192.2
2023,ARKANSAS,5111,5,111,188.2
2023,ARKANSAS,5145,5,145,186.7
2023,ARKANSAS,5003,5,3,177.5
2023,ARKANSAS,5017,5,17,178.6
2023,ARKANSAS,5041,5,41,192.3
2023,ARKANSAS,5043,5,43,191.9
2023,ARKANSAS,5069,5,69,175.8
2023,ARKANSAS,5079,5,79,181.7
2023,ARKANSAS,5149,5,149,150.7
2023,CALIFORNIA,6000,6,,149.1
2023,CALIFORNIA,6011,6,11,212.5
2023,CALIFORNIA,6021,6,21,166.9
2023,CALIFORNIA,6067,6,67,201.6
2023,CALIFORNIA,6113,6,113,201.7
2023,CALIFORNIA,6077,6,77,206.8
2023,COLORADO,8000,8,,93.9
2023,COLORADO,8039,8,39,46.9
2023,COLORADO,8061,8,61,79.4
2023,COLORADO,8063,8,63,94.5
2023,COLORADO,8095,8,95,114.8
2023,COLORADO,8121,8,121,88.6
2023,COLORADO,8125,8,125,169.5
2023,COLORADO,8013,8,13,140.1
2023,COLORADO,8069,8,69,194.8
2023,COLORADO,8075,8,75,152
2023,COLORADO,8087,8,87,194.7
2023,COLORADO,8115,8,115,114.1
2023,COLORADO,8123,8,123,211.2
2023,COLORADO,8011,8,11,146.6
2023,COLORADO,8099,8,99,160.2
2023,COLORADO,8101,8,101,190.8
2023,COLORADO,8029,8,29,231.1
2023,DELAWARE,10001,10,1,194.5
2023,DELAWARE,10003,10,3,191.6
2023,DELAWARE,10005,10,5,185.5
2023,GEORGIA,13000,13,,165.3
2023,GEORGIA,13167,13,167,166.3
2023,GEORGIA,13175,13,175,170.1
2023,GEORGIA,13303,13,303,202.4
2023,GEORGIA,13031,13,31,142
2023,GEORGIA,13033,13,33,180.6
2023,GEORGIA,13107,13,107,171.3
2023,GEORGIA,13163,13,163,197.4
2023,GEORGIA,13165,13,165,181.9
2023,GEORGIA,13251,13,251,166.7
2023,GEORGIA,13139,13,139,129
2023,GEORGIA,13297,13,297,81.7
2023,GEORGIA,13011,13,11,155.5
2023,GEORGIA,13119,13,119,162.2
2023,GEORGIA,13241,13,241,120.6
2023,GEORGIA,13115,13,115,120.8
2023,GEORGIA,13129,13,129,168.9
2023,GEORGIA,13295,13,295,155.7
2023,GEORGIA,13019,13,19,166.7
2023,GEORGIA,13027,13,27,175.8
2023,GEORGIA,13069,13,69,157.4
2023,GEORGIA,13071,13,71,193.7
2023,GEORGIA,13075,13,75,181.5
2023,GEORGIA,13155,13,155,197.4
2023,GEORGIA,13161,13,161,151.9
2023,GEORGIA,13185,13,185,156
2023,GEORGIA,13277,13,277,187.9
2023,GEORGIA,13287,13,287,147
2023,GEORGIA,13315,13,315,186.2
2023,GEORGIA,13321,13,321,179.5
2023,GEORGIA,13229,13,229,172.7
2023,GEORGIA,13267,13,267,175.8
2023,GEORGIA,13299,13,299,131
2023,GEORGIA,13007,13,7,191.2
2023,GEORGIA,13037,13,37,210.8
2023,GEORGIA,13061,13,61,192.7
2023,GEORGIA,13099,13,99,173.5
2023,GEORGIA,13131,13,131,178.2
2023,GEORGIA,13201,13,201,191.9
2023,GEORGIA,13243,13,243,168.5
2023,GEORGIA,13261,13,261,189.7
2023,GEORGIA,13273,13,273,162.4
2023,GEORGIA,13275,13,275,174
2023,GEORGIA,13193,13,193,194.6
2023,GEORGIA,13269,13,269,104
2023,IDAHO,16000,16,,196.8
2023,IDAHO,16011,16,11,184
2023,IDAHO,16041,16,41,161.5
2023,IDAHO,16077,16,77,187.3
2023,IDAHO,16047,16,47,195.2
2023,IDAHO,16063,16,63,192.7
2023,IDAHO,16083,16,83,196.9
2023,IDAHO,16027,16,27,220
2023,IDAHO,16045,16,45,219
