Year,State,State ANSI,GEOID,County ANSI,Value
2023,CALIFORNIA,6,,,22.5
2023,CALIFORNIA,6,6021,21,23.5
2023,CALIFORNIA,6,6067,67,26.5
2023,CALIFORNIA,6,6115,115,21
2023,CALIFORNIA,6,6019,19,21.5
2023,CALIFORNIA,6,6029,29,20
2023,CALIFORNIA,6,6031,31,24.5
2023,CALIFORNIA,6,6039,39,30
2023,CALIFORNIA,6,6047,47,27.5
2023,CALIFORNIA,6,6077,77,26.5
2023,CALIFORNIA,6,6099,99,27.5
2023,CALIFORNIA,6,6107,107,28.5
2023,IOWA,19,,,19
2023,IOWA,19,19127,127,25
2023,IOWA,19,19103,103,17.5
2023,IOWA,19,19067,67,20.5
2023,IOWA,19,19005,5,17.5
2023,IOWA,19,19017,17,18.5
2023,IOWA,19,19037,37,17.5
2023,IOWA,19,19055,55,20
2023,IOWA,19,19061,61,21
2023,IOWA,19,19065,65,21
2023,IOWA,19,19191,191,23
2023,IOWA,19,19035,35,21.5
2023,IOWA,19,19041,41,20.5
2023,IOWA,19,19119,119,21
2023,IOWA,19,19141,141,25.5
2023,IOWA,19,19167,167,23
2023,IOWA,19,19135,135,18.5
2023,IOWA,19,19051,51,17
2023,IOWA,19,19111,111,15.5
2023,IOWA,19,19193,193,14
2023,MINNESOTA,27,,,18
2023,MINNESOTA,27,27019,19,22.5
2023,MINNESOTA,27,27067,67,22.5
2023,MINNESOTA,27,27097,97,12.5
2023,MINNESOTA,27,27129,129,15
2023,MINNESOTA,27,27139,139,18
2023,MINNESOTA,27,27143,143,16
2023,MINNESOTA,27,27153,153,19.5
2023,MINNESOTA,27,27171,171,20.5
2023,MINNESOTA,27,27001,1,9
2023,MINNESOTA,27,27017,17,15
2023,MINNESOTA,27,27025,25,12.5
2023,MINNESOTA,27,27065,65,13
2023,MINNESOTA,27,27095,95,16
2023,MINNESOTA,27,27115,115,16.5
2023,MINNESOTA,27,27163,163,17
2023,MINNESOTA,27,27021,21,11.5
2023,MINNESOTA,27,27061,61,11.5
2023,MINNESOTA,27,27005,5,18.5
2023,MINNESOTA,27,27027,27,21
2023,MINNESOTA,27,27087,87,20
2023,MINNESOTA,27,27013,13,26
2023,MINNESOTA,27,27015,15,17
2023,MINNESOTA,27,27079,79,23.5
2023,MINNESOTA,27,27131,131,18.5
2023,MINNESOTA,27,27147,147,18.5
2023,MINNESOTA,27,27161,161,23.5
2023,MINNESOTA,27,27037,37,26
2023,MINNESOTA,27,27045,45,24
2023,MINNESOTA,27,27049,49,20.5
2023,MINNESOTA,27,27055,55,19.5
2023,MINNESOTA,27,27099,99,14.5
2023,MINNESOTA,27,27109,109,19.5
2023,MINNESOTA,27,27169,169,24.5
2023,MINNESOTA,27,27033,33,20
2023,MINNESOTA,27,27063,63,19
2023,MINNESOTA,27,27081,81,18
2023,MINNESOTA,27,27101,101,17.5
2023,MINNESOTA,27,27127,127,17.5
2023,MINNESOTA,27,27133,133,19
2023,MINNESOTA,27,27023,23,22
2023,MINNESOTA,27,27051,51,18.5
2023,MINNESOTA,27,27073,73,21
2023,MINNESOTA,27,27121,121,20.5
2023,MINNESOTA,27,27151,151,23.5
2023,MINNESOTA,27,27155,155,21.5
2023,NEW YORK,36,,,21
2023,NEW YORK,36,36011,11,21
2023,NEW YORK,36,36017,17,19.5
2023,NEW YORK,36,36023,23,21
2023,NEW YORK,36,36043,43,19.5
2023,NEW YORK,36,36053,53,20
2023,NEW YORK,36,36065,65,20.5
2023,NEW YORK,36,36075,75,17.5
2023,NEW YORK,36,36057,57,17
2023,NEW YORK,36,36083,83,18.5
2023,NEW YORK,36,36091,91,18
2023,NEW YORK,36,36095,95,14.5
2023,NEW YORK,36,36115,115,17.5
2023,NEW YORK,36,36019,19,19
2023,NEW YORK,36,36031,31,14
2023,NEW YORK,36,36033,33,20.5
2023,NEW YORK,36,36045,45,20.5
2023,NEW YORK,36,36049,49,18.5
2023,NEW YORK,36,36089,89,20
2023,NEW YORK,36,36021,21,26
2023,NEW YORK,36,36025,25,18.5
2023,NEW YORK,36,36071,71,18.5
2023,NEW YORK,36,36105,105,21.5
2023,NEW YORK,36,36007,7,23
2023,NEW YORK,36,36107,107,20.5
2023,NEW YORK,36,36109,109,21.5
2023,NEW YORK,36,36009,9,21
2023,NEW YORK,36,36013,13,19.5
2023,NEW YORK,36,36101,101,18.5
2023,NEW YORK,36,36029,29,20
2023,NEW YORK,36,36037,37,22.5
2023,NEW YORK,36,36051,51,21
2023,NEW YORK,36,36063,63,22.5
2023,NEW YORK,36,36069,69,19
2023,NEW YORK,36,36073,73,21.5
2023,NEW YORK,36,36099,99,21.5
2023,NEW YORK,36,36117,117,20
2023,NEW YORK,36,36121,121,20.5
2023,NEW YORK,36,36123,123,20
2023,NORTH DAKOTA,38,,,17.5
2023,NORTH DAKOTA,38,38031,31,17
2023,NORTH DAKOTA,38,38043,43,18.5
2023,NORTH DAKOTA,38,38083,83,18.5
2023,NORTH DAKOTA,38,38003,3,16
2023,NORTH DAKOTA,38,38039,39,18.5
2023,NORTH DAKOTA,38,38091,91,22.5
2023,NORTH DAKOTA,38,38005,5,16
2023,NORTH DAKOTA,38,38049,49,16
2023,NORTH DAKOTA,38,38079,79,14.5
2023,NORTH DAKOTA,38,38105,105,15
2023,NORTH DAKOTA,38,38015,15,16.5
2023,NORTH DAKOTA,38,38029,29,22
2023,NORTH DAKOTA,38,38037,37,17
2023,NORTH DAKOTA,38,38021,21,20.5
2023,NORTH DAKOTA,38,38045,45,17.5
2023,NORTH DAKOTA,38,38047,47,20
2023,NORTH DAKOTA,38,38051,51,17
2023,NORTH DAKOTA,38,38073,73,18.5
2023,NORTH DAKOTA,38,38007,7,15
2023,NORTH DAKOTA,38,38011,11,16.5
2023,NORTH DAKOTA,38,38025,25,18
2023,NORTH DAKOTA,38,38053,53,15.5
2023,PENNSYLVANIA,42,,,18.5
2023,PENNSYLVANIA,42,42013,13,23
2023,PENNSYLVANIA,42,42021,21,17
2023,PENNSYLVANIA,42,42027,27,22
2023,PENNSYLVANIA,42,42061,61,22
2023,PENNSYLVANIA,42,42067,67,19.5
2023,PENNSYLVANIA,42,42087,87,20.5
2023,PENNSYLVANIA,42,42097,97,20.5
2023,PENNSYLVANIA,42,42099,99,20
2023,PENNSYLVANIA,42,42119,119,23.5
2023,PENNSYLVANIA,42,42107,107,19
2023,PENNSYLVANIA,42,42035,35,21.5
2023,PENNSYLVANIA,42,42047,47,18
2023,PENNSYLVANIA,42,42083,83,20
2023,PENNSYLVANIA,42,42117,117,16
2023,PENNSYLVANIA,42,42127,127,15.5
2023,PENNSYLVANIA,42,42123,123,17
2023,PENNSYLVANIA,42,42001,1,18
2023,PENNSYLVANIA,42,42009,9,21.5
2023,PENNSYLVANIA,42,42041,41,19
2023,PENNSYLVANIA,42,42055,55,19.5
2023,PENNSYLVANIA,42,42057,57,17.5
2023,PENNSYLVANIA,42,42011,11,20
2023,PENNSYLVANIA,42,42029,29,24
2023,PENNSYLVANIA,42,42071,71,24
2023,PENNSYLVANIA,42,42075,75,22.5
2023,PENNSYLVANIA,42,42051,51,19.5
2023,PENNSYLVANIA,42,42111,111,15
2023,PENNSYLVANIA,42,42125,125,17
2023,PENNSYLVANIA,42,42129,129,21
2023,PENNSYLVANIA,42,42063,63,20.5
2023,PENNSYLVANIA,42,42065,65,22
2023,WISCONSIN,55,,,22
2023,WISCONSIN,55,55001,1,19.5
2023,WISCONSIN,55,55047,47,22.5
2023,WISCONSIN,55,55057,57,19.5
2023,WISCONSIN,55,55077,77,18.5
2023,WISCONSIN,55,55097,97,18.5
2023,WISCONSIN,55,55135,135,20.5
2023,WISCONSIN,55,55137,137,20
2023,WISCONSIN,55,55141,141,20.5
2023,WISCONSIN,55,55009,9,20.5
2023,WISCONSIN,55,55015,15,19.5
2023,WISCONSIN,55,55039,39,22.5
2023,WISCONSIN,55,55061,61,20
2023,WISCONSIN,55,55071,71,21.5
2023,WISCONSIN,55,55087,87,21.5
2023,WISCONSIN,55,55117,117,19.5
2023,WISCONSIN,55,55139,139,21
2023,WISCONSIN,55,55019,19,21.5
2023,WISCONSIN,55,55069,69,18
2023,WISCONSIN,55,55073,73,21.5
2023,WISCONSIN,55,55099,99,15
2023,WISCONSIN,55,55119,119,21
2023,WISCONSIN,55,55067,67,22.5
2023,WISCONSIN,55,55075,75,22.5
2023,WISCONSIN,55,55083,83,21.5
2023,WISCONSIN,55,55115,115,19.5
2023,WISCONSIN,55,55005,5,21
2023,WISCONSIN,55,55013,13,19
2023,WISCONSIN,55,55017,17,22
2023,WISCONSIN,55,55095,95,19
2023,WISCONSIN,55,55107,107,20
2023,WISCONSIN,55,55129,129,17.5
2023,WISCONSIN,55,55021,21,20
2023,WISCONSIN,55,55025,25,23.5
2023,WISCONSIN,55,55045,45,19
2023,WISCONSIN,55,55055,55,21
2023,WISCONSIN,55,55105,105,21
2023,WISCONSIN,55,55059,59,23
2023,WISCONSIN,55,55089,89,20.5
2023,WISCONSIN,55,55101,101,20
