Year,State,GEOID,State ANSI,County ANSI,Value
2023,ILLINOIS,17000,17,,2.3
2023,ILLINOIS,17039,17,39,2.2
2023,ILLINOIS,17115,17,115,2.15
2023,ILLINOIS,17123,17,123,1.75
2023,ILLINOIS,17125,17,125,1.5
2023,ILLINOIS,17143,17,143,2.5
2023,ILLINOIS,17175,17,175,2.1
2023,ILLINOIS,17203,17,203,2.85
2023,ILLINOIS,17019,17,19,1.25
2023,ILLINOIS,17091,17,91,2.9
2023,ILLINOIS,17147,17,147,1.55
2023,ILLINOIS,17183,17,183,1.9
2023,ILLINOIS,17023,17,23,3.35
2023,ILLINOIS,17025,17,25,2.15
2023,ILLINOIS,17029,17,29,1.7
2023,ILLINOIS,17033,17,33,2
2023,ILLINOIS,17035,17,35,1.45
2023,ILLINOIS,17049,17,49,2
2023,ILLINOIS,17051,17,51,2
2023,ILLINOIS,17079,17,79,2.35
2023,ILLINOIS,17101,17,101,1.4
2023,ILLINOIS,17121,17,121,2.25
2023,ILLINOIS,17139,17,139,2.6
2023,ILLINOIS,17159,17,159,2.6
2023,ILLINOIS,17173,17,173,1.65
2023,ILLINOIS,17131,17,131,1.95
2023,ILLINOIS,17141,17,141,2.95
2023,ILLINOIS,17047,17,47,2.2
2023,ILLINOIS,17055,17,55,1.95
2023,ILLINOIS,17059,17,59,2.65
2023,ILLINOIS,17065,17,65,2.1
2023,ILLINOIS,17069,17,69,1.85
2023,ILLINOIS,17081,17,81,2.4
2023,ILLINOIS,17151,17,151,1.55
2023,ILLINOIS,17165,17,165,2.4
2023,ILLINOIS,17191,17,191,2
2023,ILLINOIS,17003,17,3,1.35
2023,ILLINOIS,17077,17,77,2
2023,ILLINOIS,17087,17,87,2.3
2023,ILLINOIS,17133,17,133,2.15
2023,ILLINOIS,17153,17,153,2.1
2023,ILLINOIS,17157,17,157,1.75
2023,ILLINOIS,17181,17,181,2.25
2023,ILLINOIS,17199,17,199,1.2
2023,ILLINOIS,17001,17,1,1.65
2023,ILLINOIS,17009,17,9,1.55
2023,ILLINOIS,17067,17,67,1.75
2023,ILLINOIS,17095,17,95,2.3
2023,ILLINOIS,17169,17,169,2.2
2023,ILLINOIS,17005,17,5,1.9
2023,ILLINOIS,17013,17,13,1.45
2023,ILLINOIS,17017,17,17,1.55
2023,ILLINOIS,17021,17,21,1.9
2023,ILLINOIS,17061,17,61,2.8
2023,ILLINOIS,17083,17,83,2.25
2023,ILLINOIS,17117,17,117,1.85
2023,ILLINOIS,17119,17,119,2.15
2023,ILLINOIS,17135,17,135,1.95
2023,ILLINOIS,17137,17,137,1.45
2023,ILLINOIS,17149,17,149,02.05
2023,ILLINOIS,17167,17,167,1.6
2023,ILLINOIS,17171,17,171,1.45
2023,NEW MEXICO,35000,35,,3
2023,NEW MEXICO,35007,35,7,1.2
2023,NEW MEXICO,35009,35,9,0.55
2023,NEW MEXICO,35011,35,11,3.65
2023,NEW MEXICO,35033,35,33,1.6
2023,NEW MEXICO,35041,35,41,1.4
2023,NEW MEXICO,35057,35,57,2.35
2023,NEW MEXICO,35006,35,6,2
2023,NEW MEXICO,35039,35,39,2
2023,NEW MEXICO,35043,35,43,5.6
2023,NEW MEXICO,35055,35,55,1.35
2023,NEW MEXICO,35013,35,13,3.2
2023,NEW MEXICO,35035,35,35,2
2023,NEW MEXICO,35017,35,17,3
2023,NEW MEXICO,35029,35,29,5
