Year,State,GEOID,State ANSI,County ANSI,Value
2023,ARKANSAS,,5,,"7,52"
2023,ARKANSAS,5001,5,1,"7,5"
2023,ARKANSAS,5035,5,35,"7,71"
2023,ARKANSAS,5037,5,37,"7,66"
2023,ARKANSAS,5085,5,85,"7,96"
2023,ARKANSAS,5095,5,95,"7,56"
2023,ARKANSAS,5107,5,107,"7,55"
2023,ARKANSAS,5117,5,117,"7,91"
2023,ARKANSAS,5123,5,123,"7,59"
2023,ARKANSAS,5147,5,147,"7,37"
2023,ARKANSAS,5055,5,55,"7,56"
2023,ARKANSAS,5067,5,67,"7,31"
2023,ARKANSAS,5111,5,111,"7,61"
2023,ARKANSAS,5145,5,145,"7,74"
2023,ARKANSAS,5003,5,3,"7,35"
2023,ARKANSAS,5017,5,17,"7,46"
2023,ARKANSAS,5041,5,41,"7,49"
2023,ARKANSAS,5043,5,43,"7,41"
2023,ARKANSAS,5069,5,69,"7,08"
2023,ARKANSAS,5079,5,79,"7,91"
2023,CALIFORNIA,,6,,"8,71"
2023,CALIFORNIA,6011,6,11,"8,67"
2023,CALIFORNIA,6021,6,21,"8,74"
2023,CALIFORNIA,6101,6,101,"8,26"
2023,CALIFORNIA,6115,6,115,"8,48"
2023,CALIFORNIA,6077,6,77,"8,46"
2023,LOUISIANA,,22,,"7,17"
2023,LOUISIANA,22009,22,9,"6,29"
2023,LOUISIANA,22039,22,39,"6,81"
2023,LOUISIANA,22079,22,79,"5,94"
2023,LOUISIANA,22097,22,97,"6,34"
2023,LOUISIANA,22065,22,65,"7,47"
2023,LOUISIANA,22123,22,123,"7,87"
2023,LOUISIANA,22099,22,99,"6,86"
2023,LOUISIANA,22001,22,1,"7,23"
2023,LOUISIANA,22003,22,3,"6,17"
2023,LOUISIANA,22053,22,53,"6,57"
2023,LOUISIANA,22113,22,113,"6,53"
2023,MISSISSIPPI,,28,,"7,3"
2023,MISSISSIPPI,28083,28,83,"7,7"
2023,MISSISSIPPI,28133,28,133,"7,8"
2023,MISSISSIPPI,28151,28,151,"7,63"
2023,MISSISSIPPI,28011,28,11,"7,58"
2023,MISSISSIPPI,28135,28,135,"7,8"
2023,MISSOURI,,29,,8
2023,MISSOURI,29069,29,69,"7,71"
2023,MISSOURI,29143,29,143,"8,37"
2023,TEXAS,,48,,"6,46"
2023,TEXAS,48089,48,89,"9,7"
2023,TEXAS,48285,48,285,"7,04"
2023,TEXAS,48039,48,39,"7,04"
2023,TEXAS,48321,48,321,"9,84"
2023,TEXAS,48481,48,481,"9,86"
2022,ARKANSAS,,5,,"7,4"
2022,ARKANSAS,5001,5,1,"7,78"
2022,ARKANSAS,5035,5,35,"7,51"
2022,ARKANSAS,5037,5,37,"7,7"
2022,ARKANSAS,5077,5,77,"7,24"
2022,ARKANSAS,5085,5,85,"7,5"
2022,ARKANSAS,5095,5,95,"7,22"
2022,ARKANSAS,5107,5,107,"7,55"
2022,ARKANSAS,5117,5,117,"7,56"
2022,ARKANSAS,5123,5,123,"7,29"
2022,ARKANSAS,5147,5,147,"7,53"
2022,ARKANSAS,5021,5,21,"7,61"
2022,ARKANSAS,5055,5,55,"7,27"
2022,ARKANSAS,5067,5,67,"7,01"
2022,ARKANSAS,5075,5,75,"7,32"
2022,ARKANSAS,5093,5,93,"7,85"
2022,ARKANSAS,5111,5,111,"6,89"
2022,ARKANSAS,5003,5,3,"7,46"
2022,ARKANSAS,5017,5,17,"7,58"
2022,ARKANSAS,5041,5,41,"7,6"
2022,ARKANSAS,5043,5,43,"7,41"
2022,ARKANSAS,5069,5,69,"7,34"
2022,ARKANSAS,5079,5,79,"7,72"
2022,CALIFORNIA,,6,,"8,57"
2022,CALIFORNIA,6007,6,7,"9,21"
2022,CALIFORNIA,6011,6,11,"8,32"
2022,CALIFORNIA,6021,6,21,"8,87"
2022,CALIFORNIA,6101,6,101,"8,45"
2022,LOUISIANA,,22,,"7,17"
2022,LOUISIANA,22009,22,9,"6,3"
2022,LOUISIANA,22029,22,29,"6,41"
2022,LOUISIANA,22039,22,39,"6,8"
2022,LOUISIANA,22079,22,79,"6,26"
2022,LOUISIANA,22097,22,97,"6,11"
2022,LOUISIANA,22041,22,41,"6,25"
2022,LOUISIANA,22099,22,99,"6,69"
2022,LOUISIANA,22001,22,1,"7,01"
2022,LOUISIANA,22003,22,3,"6,19"
2022,LOUISIANA,22053,22,53,"6,24"
2022,LOUISIANA,22113,22,113,"6,62"
2022,MISSISSIPPI,,28,,"7,1"
2022,MISSISSIPPI,28083,28,83,"7,61"
2022,MISSISSIPPI,28133,28,133,"7,41"
2022,MISSISSIPPI,28011,28,11,"7,61"
2022,MISSISSIPPI,28119,28,119,"7,11"
2022,MISSISSIPPI,28135,28,135,"7,68"
2022,MISSISSIPPI,28143,28,143,"7,26"
2022,MISSOURI,,29,,"7,83"
2022,MISSOURI,29023,29,23,"8,34"
2022,MISSOURI,29069,29,69,"7,75"
2022,MISSOURI,29143,29,143,"7,71"
2022,MISSOURI,29155,29,155,"7,59"
2022,TEXAS,,48,,"5,06"
2022,TEXAS,48089,48,89,"6,96"
2022,TEXAS,48321,48,321,"6,84"
2022,TEXAS,48481,48,481,"9,44"
2021,ARKANSAS,,5,,"7,6"
2021,ARKANSAS,5001,5,1,"7,95"
2021,ARKANSAS,5035,5,35,"7,62"
2021,ARKANSAS,5037,5,37,"7,55"
2021,ARKANSAS,5077,5,77,"7,64"
2021,ARKANSAS,5085,5,85,"7,92"
2021,ARKANSAS,5095,5,95,"7,39"
2021,ARKANSAS,5117,5,117,"8,1"
2021,ARKANSAS,5123,5,123,"7,26"
2021,ARKANSAS,5147,5,147,"7,66"
2021,ARKANSAS,5021,5,21,"8,26"
2021,ARKANSAS,5067,5,67,"7,16"
2021,ARKANSAS,5111,5,111,"7,58"
2021,ARKANSAS,5145,5,145,"8,23"
2021,ARKANSAS,5003,5,3,"7,87"
2021,ARKANSAS,5017,5,17,"7,51"
2021,ARKANSAS,5041,5,41,"6,88"
2021,ARKANSAS,5069,5,69,"7,51"
2021,ARKANSAS,5079,5,79,"7,41"
2021,CALIFORNIA,,6,,"8,69"
2021,CALIFORNIA,6007,6,7,"9,39"
2021,CALIFORNIA,6011,6,11,"8,99"
2021,CALIFORNIA,6021,6,21,"9,14"
2021,CALIFORNIA,6067,6,67,"8,56"
2021,CALIFORNIA,6101,6,101,"8,89"
2021,CALIFORNIA,6113,6,113,"8,92"
2021,CALIFORNIA,6115,6,115,"9,13"
2021,CALIFORNIA,6077,6,77,"8,5"
2021,LOUISIANA,,22,,"7,02"
2021,LOUISIANA,22009,22,9,"6,12"
2021,LOUISIANA,22039,22,39,"6,81"
2021,LOUISIANA,22079,22,79,"6,76"
2021,LOUISIANA,22097,22,97,"6,24"
2021,LOUISIANA,22065,22,65,"7,98"
2021,LOUISIANA,22067,22,67,"8,02"
2021,LOUISIANA,22055,22,55,"7,23"
2021,LOUISIANA,22099,22,99,"6,98"
2021,LOUISIANA,22001,22,1,"6,89"
2021,LOUISIANA,22003,22,3,"6,32"
2021,LOUISIANA,22011,22,11,"6,45"
2021,LOUISIANA,22053,22,53,"6,69"
2021,LOUISIANA,22113,22,113,"6,98"
2021,MISSISSIPPI,,28,,"7,26"
2021,MISSISSIPPI,28053,28,53,"7,3"
2021,MISSISSIPPI,28083,28,83,"7,99"
2021,MISSISSIPPI,28011,28,11,"7,85"
2021,MISSISSIPPI,28119,28,119,"7,03"
2021,MISSISSIPPI,28143,28,143,"7,61"
2021,MISSOURI,,29,,"8,25"
2021,MISSOURI,29023,29,23,"8,13"
2021,MISSOURI,29143,29,143,"7,02"
2021,MISSOURI,29155,29,155,"7,73"
2021,MISSOURI,29207,29,207,"8,47"
2021,TEXAS,,48,,"5,95"
2021,TEXAS,48285,48,285,"7,39"
2021,TEXAS,48239,48,239,"9,45"
2021,TEXAS,48245,48,245,"5,94"
2021,TEXAS,48321,48,321,"8,48"
2021,TEXAS,48481,48,481,"8,48"
2020,ARKANSAS,,5,,"7,3"
