Year,State,GEOID,State ANSI,County ANSI,Value
2023,ALABAMA,,1,,35.8
2023,ALABAMA,1047,1,47,38
2023,ALABAMA,1051,1,51,37.6
2023,ALABAMA,1087,1,87,34.3
2023,ALABAMA,1091,1,91,33
2023,ALABAMA,1101,1,101,42.3
2023,ALABAMA,1105,1,105,29.7
2023,ALABAMA,1003,1,3,23.3
2023,ALABAMA,1099,1,99,22.7
2023,ALABAMA,1009,1,9,50.3
2023,ALABAMA,1015,1,15,45.2
2023,ALABAMA,1019,1,19,51.7
2023,ALABAMA,1043,1,43,48.3
2023,ALABAMA,1049,1,49,47.6
2023,ALABAMA,1055,1,55,37.8
2023,ALABAMA,1071,1,71,42.1
2023,ALABAMA,1095,1,95,46.1
2023,ALABAMA,1033,1,33,38.3
2023,ALABAMA,1059,1,59,48.3
2023,ALABAMA,1077,1,77,45.2
2023,ALABAMA,1079,1,79,46.7
2023,ALABAMA,1083,1,83,46.8
2023,ALABAMA,1089,1,89,50.2
2023,ALABAMA,1093,1,93,49.3
2023,ALABAMA,1103,1,103,48.7
2023,ALABAMA,1057,1,57,52.6
2023,ALABAMA,1125,1,125,48.1
2023,ALABAMA,1031,1,31,34.8
2023,ARKANSAS,,5,,48.4
2023,ARKANSAS,5029,5,29,40.9
2023,ARKANSAS,5119,5,119,38.5
2023,ARKANSAS,5001,5,1,57.1
2023,ARKANSAS,5035,5,35,54.7
2023,ARKANSAS,5037,5,37,63.7
2023,ARKANSAS,5077,5,77,57.9
2023,ARKANSAS,5085,5,85,50.9
2023,ARKANSAS,5095,5,95,48.7
2023,ARKANSAS,5107,5,107,62.7
2023,ARKANSAS,5117,5,117,56.8
2023,ARKANSAS,5123,5,123,58.8
2023,ARKANSAS,5147,5,147,50.7
2023,ARKANSAS,5021,5,21,47.3
2023,ARKANSAS,5031,5,31,58
2023,ARKANSAS,5055,5,55,53
2023,ARKANSAS,5067,5,67,42.6
2023,ARKANSAS,5111,5,111,55
2023,ARKANSAS,5145,5,145,38.1
2023,ARKANSAS,5143,5,143,30
2023,ARKANSAS,5019,5,19,48.5
2023,ARKANSAS,5003,5,3,58.9
2023,ARKANSAS,5017,5,17,54.3
2023,ARKANSAS,5041,5,41,59.2
2023,ARKANSAS,5043,5,43,55
2023,ARKANSAS,5069,5,69,54.6
2023,ARKANSAS,5079,5,79,53.3
2023,ARKANSAS,5047,5,47,39.4
2023,ARKANSAS,5131,5,131,31.8
2023,ARKANSAS,5149,5,149,44.6
2023,DELAWARE,10001,10,1,46.5
2023,DELAWARE,10003,10,3,49.3
2023,DELAWARE,10005,10,5,44.8
2023,GEORGIA,,13,,41.2
2023,GEORGIA,13023,13,23,54.3
2023,GEORGIA,13153,13,153,43.9
2023,GEORGIA,13175,13,175,35
2023,GEORGIA,13107,13,107,40.3
