Year,State,GEOID,State ANSI,County ANSI,Value
2024,ILLINOIS,17000,17,,82.1
2024,ILLINOIS,17115,17,115,93.5
2024,ILLINOIS,17125,17,125,91.2
2024,ILLINOIS,17129,17,129,91.9
2024,ILLINOIS,17143,17,143,96.6
2024,ILLINOIS,17203,17,203,82.6
2024,ILLINOIS,17019,17,19,90.5
2024,ILLINOIS,17091,17,91,105.9
2024,ILLINOIS,17105,17,105,93.5
2024,ILLINOIS,17147,17,147,86.9
2024,ILLINOIS,17023,17,23,95.3
2024,ILLINOIS,17025,17,25,87.5
2024,ILLINOIS,17029,17,29,90.7
2024,ILLINOIS,17033,17,33,84.3
2024,ILLINOIS,17035,17,35,94.3
2024,ILLINOIS,17045,17,45,93.2
2024,ILLINOIS,17049,17,49,96.3
2024,ILLINOIS,17051,17,51,83.3
2024,ILLINOIS,17079,17,79,84.1
2024,ILLINOIS,17101,17,101,77.8
2024,ILLINOIS,17121,17,121,86.1
2024,ILLINOIS,17159,17,159,83.5
2024,ILLINOIS,17173,17,173,93.2
2024,ILLINOIS,17007,17,7,113.6
2024,ILLINOIS,17037,17,37,92.5
2024,ILLINOIS,17089,17,89,85
2024,ILLINOIS,17093,17,93,102.9
2024,ILLINOIS,17099,17,99,99.8
2024,ILLINOIS,17111,17,111,91.6
2024,ILLINOIS,17197,17,197,89
2024,ILLINOIS,17011,17,11,117.8
2024,ILLINOIS,17015,17,15,104.6
2024,ILLINOIS,17073,17,73,94.2
2024,ILLINOIS,17103,17,103,100
2024,ILLINOIS,17141,17,141,111.4
2024,ILLINOIS,17177,17,177,106.1
2024,ILLINOIS,17201,17,201,101.3
2024,ILLINOIS,17055,17,55,77.7
2024,ILLINOIS,17191,17,191,70.9
2024,ILLINOIS,17153,17,153,79.9
2024,ILLINOIS,17157,17,157,90.9
2024,ILLINOIS,17163,17,163,83.4
2024,ILLINOIS,17189,17,189,97
2024,ILLINOIS,17001,17,1,76.4
2024,ILLINOIS,17009,17,9,67.4
2024,ILLINOIS,17057,17,57,84.9
2024,ILLINOIS,17095,17,95,84.9
2024,ILLINOIS,17169,17,169,84
2024,ILLINOIS,17187,17,187,81.1
2024,ILLINOIS,17017,17,17,64.2
2024,ILLINOIS,17021,17,21,91.2
2024,ILLINOIS,17061,17,61,98.9
2024,ILLINOIS,17083,17,83,79.3
2024,ILLINOIS,17117,17,117,77.6
2024,ILLINOIS,17119,17,119,85.1
2024,ILLINOIS,17135,17,135,88.6
2024,ILLINOIS,17137,17,137,69.5
2024,ILLINOIS,17167,17,167,81
2023,ARKANSAS,,5,,57.9
2023,ARKANSAS,5001,5,1,59.6
2023,ARKANSAS,5035,5,35,59.9
2023,ARKANSAS,5095,5,95,60.1
2023,ARKANSAS,5107,5,107,63.2
2023,ARKANSAS,5117,5,117,63.1
2023,ARKANSAS,5147,5,147,53.5
2023,ARKANSAS,5031,5,31,67.4
2023,ARKANSAS,5055,5,55,47.8
2023,ARKANSAS,5067,5,67,47.7
2023,ARKANSAS,5075,5,75,54.2
2023,ARKANSAS,5111,5,111,64.7
2023,ARKANSAS,5145,5,145,63.1
2023,ARKANSAS,5017,5,17,56.2
2023,ARKANSAS,5041,5,41,47.3
2023,ARKANSAS,5043,5,43,52.8
2023,ARKANSAS,5069,5,69,49.9
2023,CALIFORNIA,,6,,77.7
2023,CALIFORNIA,6021,6,21,67.6
2023,CALIFORNIA,6067,6,67,71.2
2023,CALIFORNIA,6095,6,95,70.8
2023,CALIFORNIA,6101,6,101,66.8
2023,CALIFORNIA,6113,6,113,90.5
2023,CALIFORNIA,6029,6,29,97.5
2023,CALIFORNIA,6077,6,77,87.9
2023,COLORADO,,8,,37.5
2023,COLORADO,8017,8,17,30.3
2023,COLORADO,8039,8,39,43.7
2023,COLORADO,8061,8,61,28.6
2023,COLORADO,8063,8,63,49.9
2023,COLORADO,8073,8,73,41.3
2023,COLORADO,8095,8,95,46.3
2023,COLORADO,8121,8,121,46.8
