"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","","99","OTHER COUNTIES","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,520","1.0"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","ARKANSAS","001","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,500","2.4"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CRITTENDEN","035","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,710","2.0"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CROSS","037","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,660","2.1"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","LONOKE","085","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,960","1.6"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","MONROE","095","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,560","2.8"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","PHILLIPS","107","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,550","1.9"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","PRAIRIE","117","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,910","1.7"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","SAINT FRANCIS","123","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,590","1.8"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","WOODRUFF","147","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,370","4.4"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","GREENE","055","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,560","1.5"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","JACKSON","067","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,310","2.4"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","POINSETT","111","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,610","2.8"
"SURVEY","2023","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","WHITE","145","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,740","2.4"
